Russian,English
и,and
не,not
на,"(+pr) on, at; (+a) onto, to"
в,"(+pr) in; (+a) into, to"
я,I
он,he
с,"(+inst) with; (+g) from, off"
это,"this, that, it"
быть,"to be; there is, there are"
что,"what (interrogative pronoun), that (conjunction)"
а,"and, but (slight contrast)"
весь,all
они,they
как,"how, as, like"
она,she
мы,we
к (+d),"towards, to"
у (+g),by; at (used in ‘have’ construction)
вы,you (polite/pl)
этот,this
за,(+a) for; (+inst) behind
но,but
ты,you (familiar)
по (+d),along; around; according to
тот,that (pronoun)
из (+g),"out of, from"
о (+pr),"about, concerning"
свой,one’s own (pronoun)
так,so
один,one
вот,"here, there (pointing)"
который,"which, who"
от (+g),from
наш,our
только,only
ещё,"still, yet"
такой,such
мочь/с-,to be able
говорить/по- (с +inst),"to speak; have a talk, talk (to)"
для (+g),for
уже,already
говорить/сказать,to say
знать,to know (+a)
да,"yes; and, but"
какой,what (kind of)
когда,when
чтобы,in order to
другой,"different, other"
первый,first
его,"his, its"
год,year
дело,"matter, business"
нет,no; (+g) there is no
кто,who
её,her
очень,very
становиться/стать (+inst),to become; stand; p: begin
большой,large
новый,new
работа,work
сейчас,"now, right now"
человек,person
идти/пойти,to go (on foot)
время,time
если,if
два,two
до (+g),up to; until
мой,my
жизнь,life
где,where
хотеть/за-,to want
каждый,"each, every"
самый,"the very, most [not наиболее]"
здесь,here [not тут]
надо,it is necessary
раз,once; a time
люди,people
теперь,now
дом,house
там,there
день,day
или,or
город,"town, city"
слово,word
глаз,eye
видеть/у- (+a),to see
потом,"then, next"
их,their
под (+inst),under
даже,even
думать/по-,to think
хорошо,well; it is good
ли,whether [question word]
можно,it is possible
тут,here (like здесь)
тысяча,thousand
вода,water
ничто,nothing
рука,hand; arm
много (+g),"much, many, a lot"
молодой,young [not юный]
тоже,too
спрашивать/спросить,to ask (s.o. about sth) (+a о +pr)
себя,self  [not сам]
без (+g),without
делать/с-,"to do, make (+a)"
три,three
жить/по-,to live; p: live for a while
всё,all; all the time
то,that (pronoun); then (conjunction)
труд,labour
сам,self [not себя]
хороший,good
второй,2nd
через (+a),"across, via, after"
двадцать,twenty
место,place
после (+g),after
страна,country
ваш,your (pl or formal)
должен,"ought, obliged, must"
друг,friend
больше,more
дверь,door
машина,machine; car
комната,room
учиться,to study
почему,why
над (+inst),above
голова,head
земля,"earth, land"
стол,table
тогда,"then, at that time"
давать/дать,to give (sth to s.o.) (+a +d)
перед (+inst),"in front of, before"
сидеть/по-,to sit
мальчик,boy
девушка,girl
лето,summer; (after numbers) years
сегодня,today
маленький,small
сторона,side
совсем,completely
несколько (+g),"a few, some"
вдруг,suddenly
ни,not a
лицо,face; person
конечно,of course
народ,(the) people
начинать/начать,to begin
вопрос,question
пять,five
ведь,you know (expecting agreement)
писать/на-,to write (+a)
письмо,letter
при,in the presence/time of; attached to (+pr)
мать,mother
нужно,it is necessary
сила,"strength, force"
смотреть/по-,to watch; (на +a) look (at)
вместе,together
выходить/выйти,to go out
любить/по- (+a),"to like, love; p: to fall in love with"
дорога,road
старый,old
улица,street
книга,book
решать/решить,to decide; solve (+inf or +a)
всегда,always
голос,voice; vote
значить,to mean
сразу,at once
лишь,only (=только)
минута,minute
бы,would (conditional particle)
снова,again
окно,window
уходить/уйти,to leave (on foot)
девятьсот,nine hundred
последний,last
отец,father
проходить/пройти,"to go through, pass (on foot)"
час,hour
просто,simply
же,emphasizes preceding word
никто,nobody
третий,third
потому,that is why; because
ждать/подо-,to wait (for) (+a or +g)
сколько (+g),"how many, how much"
высокий,"high, tall"
лес,"wood, forest"
лучше,better
получать/получить,"to receive, get (+a)"
почти,almost
конец,end
нога,"leg, foot"
покачиваться,"to rock, sway"
собственный,one’s own (adj)
отвратительный,repulsive
сто,hundred
четыре,four
художник,artist
пока,while
пока... не,until
путь,"way, journey"
слушать/по-,to listen to (+a)
белый,white
республика,republic
быстро,quickly
куда,"where (whither), which way?"
главный,main
дети,children
газета,newspaper
рассказывать/рассказать,"to tell, talk (about)"
совет,advice; council
понимать/понять,to understand (+a)
бывать,to be (repeatedly)
пора,"it is time; time, season"
твой,your (familiar)
находить/найти,to find (+a)
песня,song
имя,(first) name
партия,party (political)
вечер,evening
между (+inst),between
опять,again
иметь (+a),to have (with non-concrete object)
настоящий,real; present
план,plan
правда,truth
сорок,forty
ходить/по-,to walk around/about
ходить/с-,to go there and back
узнавать/узнать,to recognize; find out (+a)
поле,field
ночь,night
входить/войти,to enter
красный,red
тело,body
более,more
урок,lesson
нельзя,it is not allowed; it is impossible
рядом,alongside
лежать/по-,"to lie, be, be situated, (p) lie for a while"
про (+a),about (=о +pr)  (coll)
интересный,interesting
никогда,never
район,region
отвечать/ответить,to answer
нужный,necessary
особенно,especially
начальник,"head, boss"
разный,"various, different"
тридцать,thirty
десять,ten
мир,world; peace
картина,picture
комитет,committee [not комиссия]
вид,"view, look; species"
мысль,thought
гость,guest
старший,"elder, senior"
среди (+g),among
случай,"case, occurrence, chance"
народный,people’s
помнить/вс-,to remember (+a or о +pr)
пусть,let
просить/по- (+a +inf),"to request, ask (s.o. to do sth)"
двор,"yard, court"
разговор,conversation [not беседа]
долго,for a long time
месяц,month; moon
союз,union
возвращаться/вернуться,to come back
война,war
хотя,although
целый,whole
берег,"bank, shore"
скоро,soon
группа,group [not коллектив]
студент,student
товарищ,comrade
часть,part
спать/по-,to sleep
полный,full
сюда,here (hither)
приезжать/приехать,to arrive (by transport)
оно,it
женщина,woman
собрание,"meeting, collection"
чуть,"hardly, just"
подходить/подойти (к +d),to approach; (+d) to suit
дерево,tree
сад,garden
бояться (+g),"to fear, be afraid"
папа,dad; Pope
прошлый,past (adj)
помощь,help
планировать/за-,to plan (+a)
прямо,"directly, straight"
лучший,better; best
мастер,master
секретарь,secretary
стена,wall
оказываться/оказаться (+inst),to turn out (to be); find oneself
сын,son
брат,brother
зачем,"why, for what"
играть/сыграть,to play
институт,institute; institution
пятый,fifth
раньше,earlier
тихо,quiet (adv)
чёрный,black
великий,great
завтра,tomorrow
широкий,wide
мало (+g),few; not much
наконец,in the end
плечо,shoulder
разве,really
разве... не,surely
снег,snow
будущий,future (adj)
сердце,heart
трудно,(it is) difficult
язык,language; tongue
приходить/прийти,to arrive (on foot)
русский,Russian; a Russian
недавно,recently
советский,Soviet (adj)
некоторый,"some, a certain"
продолжать/продолжить,to continue
член,member
поэтому,consequently
замечать/заметить,to notice (+a)
квартира,"flat, apartment"
уметь/с- (+inf),"to know how to; (p) be able to, manage to"
свет,light; world
назад,"back, ago"
школьник,schoolboy
домой,"home, homewards"
право,right; law
сильный,"strong, powerful"
средний,middle; average
дальше,further
задача,"task, problem"
бежать/по-,to run
ветер,wind
помогать/помочь (+d),to help (s.o.)
словно,as if
дорогой,"dear, expensive"
история,history; story
молчать/за-,to be silent; p: to fall silent
солнце,sun
дома,at home
море,sea
огромный,enormous
ученик,pupil
чувство,feeling
петь/с- (+a),to sing
борьба,struggle
речь,speech
ехать/по-,to go (by transport)
хлеб,bread
движение,"movement, motion"
праздник,"holiday, festival"
внимание,attention
