French,English
un,"a, an, one"
à,"to, at, in [not ""chez""]"
en,"in, by"
le,"the; him, her, it, them"
et,and
être,to be; (being)
de,"of, from, some, any"
avoir,to have
que,"that, what, who, whom, (which)"
ne,"not [not ""pas"", not ""non""]"
dans,"in, into, from"
ce,"this, that"
il,"he, it"
qui,"who, whom"
pas,"not, n't; (footstep) [not ""non"", not ""ne""]"
pour,"for, in order to"
sur,"on, upon"
se,"oneself, himself, herself, itself, themselves"
son,"his, her, its; (sound; bran)"
plus,"more, no more [not ""davantage""]"
pouvoir,"can, to be able to"
par,by
je,I
avec,with
tout,"all, very"
faire,"to do, make"
nous,"we, us"
mettre,"to put, place"
autre,other
on,"one, we"
mais,but
leur,"them, their, theirs"
comme,"like, as"
ou,or
si,"if, whether"
avant,before
y,"there [not ""là""]"
dire,to say
elle,"she, her"
devoir,"to have to, owe; (duty)"
donner,to give
deux,two
même,"same, even, self"
prendre,"to take [not ""emporter"" / ""emmener""]"
où,where
aussi,"too, also, as [not ""également""]"
celui,"that, the one, he, him"
bien,well
cela,"that, it [c.l.]"
une fois,"time, times"
vous,you [formal]
encore,"again, yet"
vouloir,to want
nouveau,new
aller,to go
entre,between
premier,"first [not ""premièrement""]"
aucun,"none, either, neither, not any"
déjà,already
grand,"great, big, tall [not ""gros"" / ""super""]"
mon,my
me,"me, to me, myself [not ""moi""]"
moins,less
quelque,"some [not ""quelconque""]"
lui,"him, her"
un temps,time
très,very
savoir,to know [to have the knowledge]
falloir,"to take, need, require"
voir,to see
notre,our
sans,without
dont,"whose, of which, (including)"
une raison,reason
un monde,"world, people"
non,"no, not [not ""pas"", not ""ne""]"
un monsieur,"mister, sir, gentleman"
un an,"year [not ""année""]"
un jour,"day [not ""journée""]"
trouver,to find
demander,to ask for
alors,"then, so [a..., not ""ainsi""]"
après,after
venir,to come
une personne,"person, people, anybody, anyone, nobody"
rendre,"to render, return, yield, give up"
une part,"share [not ""portion""]"
dernier,last
lequel,"which (one), who, whom"
pendant,"during; (pendant) [not ""durant""]"
passer,to pass
peu,little
depuis,"since, for"
une suite,"result, follow-up, rest [not ""résultat""]"
bon,good
comprendre,to understand
rester,to stay
un point,point; (at all) (masculine)
ainsi,"thus [a..., not ""alors""]"
une heure,hour
une année,"year [not ""an""]"
toujours,always
tenir,"to hold [not ""d...""]"
porter,"to wear, carry"
parler,to speak
seul,"alone, only"
montrer,to show
là,"there, here"
certain,"certain, sure"
fort,strong
tu,"you [informal, not ""toi""]"
continuer,to continue
un pays,country
une fin,"end; (gist; clever person; thin, fine)"
penser,to think
un lieu,place [l...]
une partie,part
quand,"when [not ""lorsque""]"
trois,three
contre,against
sous,under
un côté,"side [not ""bord""]"
ensemble,together
une chose,thing
un/une enfant,child
suivre,"to follow [not ""ensuivre""]"
une cause,cause
une place,"room, space, square, place [p...]"
seulement,"only [not ""uniquement""]"
moi,me
une vie,life
une politique,politics; (political)
jusque,"to, up to, until"
croire,to believe
un homme,man
un cas,case
connaître,"to know [e.g. someone, a place]"
commencer,"to begin, start  [not ""entamer"" / ""débuter"" / ""entreprendre""]"
compter,to count
un fait,"(done), fact"
tel,such
petit,"small, little"
une question,question
donc,"so, then, therefore, thus [d...]"
quel,"what (a), which"
général,general
entendre,to hear
beaucoup,"much, a lot of, many"
chaque,"each [not ""chacun""]"
un droit,"right, prerogative, (straight)"
un moment,moment
un travail,"work [not ""oeuvre"" / ""tâche"" / ""ouvrage""]"
une femme,"woman, wife"
attendre,to wait
remettre,"to replace, set, put; to deliver [not ""livrer""]"
jeune,young
permettre,"to allow, permit"
occuper,to occupy
un gouvernement,government
eux,them
appeler,to call
devenir,to become
partir,"to leave [not ""laisser"" / ""quitter""]"
décider,to decide
soit,either...or [1 word]
ici,here
rien,nothing
un plan,"plan, map, (flat)"
un cours,course
un nom,name
une famille,family
un effet,effect
une affaire,"business, matter"
arriver,"to arrive, happen"
servir,to serve
un mois,month
jamais,never
car,because; (bus)
possible,"possible [not ""éventuel""]"
tant,"so much, so many [not ""autant"" / ""tellement""]"
vers,"toward [not ""envers""]"
un besoin,need
revenir,to come back
sembler,to seem
un moyen,"means, way; medium"
un groupe,group
un problème,problem
un rapport,"relationship, report [not ""relation""]"
dès,"from, as soon"
peut-être,"perhaps, maybe"
maintenant,now
pourquoi,why
meilleur,"better, best [not ""mieux""]"
une vue,view
trop,"too much, too many"
laisser,"to leave [not ""partir"" / ""quitter""]"
un ordre,order
devant,"in front, ahead"
recevoir,to receive
répondre,to answer
long,"long, lengthy"
un service,service
un/une ministre,minister
vivre,to live
chez,"at, with"
te,"you, to you, from you [informal]"
rappeler,"to recall, call back"
une face,"front, side, face"
accepter,to accept
agir,to act
simple,simple
présenter,to present
votre,your [formal]
important,important
présent,present
mieux,"better [not ""meilleur""]"
plusieurs,several
jouer,to play
un mot,"word [not ""parole""]"
reconnaître,to recognize
poser,"to put, pose, ask"
une situation,situation
offrir,to offer
près,"near, nearby, close by"
une force,force
national,national
un projet,project
ni,nor
choisir,to choose
toucher,to touch
un train,train
aujourd'hui,today
comment,how
puis,"then, so [p...]"
des gens,"people [not ""peuple""]"
propre,"clean, proper"
une grâce,"thanks, grace, favour"
une idée,idea
surtout,"especially, above all [not ""spécialement""]"
une région,region
aimer,"to like, love"
un sens,"sense, meaning"
selon,"according to [not ""d'après""]"
une semaine,week
également,"also, too, as well, equally [not ""aussi""]"
ci,"this one, here [2 letters]"
retrouver,"to find, recall [not ""t...""]"
un nombre,"number [not ""numéro""]"
perdre,to lose
français,French
une façon,"way, manner, fashion"
quatre,four
un compte,"account, count [not ""récit""]"
considérer,to consider
expliquer,to explain
ouvrir,to open
gagner,"to win, earn"
un exemple,example
lorsque,"when [not ""quand""]"
économique,"economic, economical"
une mesure,measure
une histoire,"history, story"
une ville,"city [not ""cité""]"
