Sanskrit,English
अंशः,part
अंशु,ray
अंशुकम्,cloth
अंशुमान्,sun
अकारान्त,(word) ending in 'A'
अकृत्रिम,natural
अक्षरम्,"syllable, letter"
अग्र,"front, top, tip"
अग्रजः,elder brother
अग्रजा,elder sister
अग्रे,"in front of, forward"
अङ्कयति (अङ्क्),"to stamp, to mark"
अङ्कः,"lap, an act of drama, a mark"
अङ्कनी,pencil
अङ्कुरः,sprout
अङ्गीकरोति (अङ्ग + कृ),to accept
अङ्गुलीयकम्,finger ring
अङ्गुष्ठः,the thumb
अचिरात्,a short while
अजगरः,python
अजा,she goat
अञ्जनम्,collyrium
अञ्जलिः,cavity formed by joining of palms
अटति (अट्),to wander
अण्डः / अण्डम्,an egg
अतः,"hence, for this reason"
अति,"very, too, exceedingly, over, beyond"
अतिक्रान्तः,"past, bygone, surpassed"
अतिथिः,a guest
अतिरमणीय,extremely beautiful
अतिशयः,excess
अतिथिसत्कारः,hospitality
अतीव,"excessively, extremely"
अत्यन्त,extreme
अत्याचारः,"atrocity, tyranny"
अत्र,here
अथ,"more, also, after this"
अथवा,or
अदर्शनम्,non-appearance
अद्य,today
अद्यतन,of today
अद्यप्रभृति,from today
अद्यापि,even today
अद्यारभ्य,today onwards
अधः,"below, down"
अधन,poor
अधर्मः,unrighteousness
अधस्तात्,"below, down"
अधिक,"much, more"
अधिकरणम्,locative case
अधिकारः,"power, authority, right"
अधीते,to study
अधिपतिः,lord
अधीन,depending on
अधुना,"now, at present"
अध्यक्षः,chairman
अध्ययनम्,study
अध्यापकः,teacher
अध्यापनम्,teaching
अध्यापयति (अधि + इङ् + णिच्),to teach
अध्यायः,chapter
अध्वरः,sacrifice
अनन्तरम्,immediately after
अनलः,fire
अनिलः,air
अनुकूल,"agreeable, favorable, conductive"
अनुक्रमणी,index
अनुग्रहः,favour
अनुजः,younger brother
अनुजा,younger sister
अनुत्तीर्ण,fail
अनुत्सृज्य,without leaving
अनुभवति (अनु + भू),to feel
अनुरागः,"passion, love"
अनुरुणद्धि (अनु + रुध्),to request
अनुवादः,translation
अनुवैद्या,nurse
अनुशासनम्,instruction. discipline
अनुसन्धानम्,research
अनुसरति (अनु + सृ),to follow
अनृत,"false, not true"
अनेक,many
अन्त,end
अन्ध,blind
अन्धकारः,darkness
अन्नम्,"food, cereal"
अन्य,other
अन्यत्र,elsewhere
अन्यथा,otherwise
अन्विष्यति (अनु + इष्),to search
अन्वेषणम्,search
अपकारः,doing evil
अपत्यम्,offspring
अपर,other
अपराधः,crime
अपर्याप्त,inadequate
अपरिचित,unknown
अपि,also
अपुत्र,issue-less (person)
अपूपः,cake
अब्दः,year
अभावः,scarcity
अभिनन्दति (अभि + नन्द्),to congratulate
अभिनयः,acting
अभिनेत्री,actress
अभिलाषः,desire
अभिवादयति (अभि + वद्),to salute
अभिशापः,curse
अभ्यस्त,accustomed
अभ्यासः,"exercise, practice"
अम्बा,mother
अम्बुजम्,lotus
अम्ल,sour
अरण्यम्,forest
अर्कः,the sun
अर्कक्षेत्रम्,place of the sun
अर्चति  (अर्च्),to worship
अर्चक,"worshiper, priest"
अर्जति (अर्ज्),to earn
अर्थयते (अर्थ्),to request
अर्थः,"purpose, meaning, money"
"अर्बुदः, अर्बुदम्",ten crores
अर्भकः,child
अलङ्करोति (अलम् + कृ),to adorn
अलङ्कारः,"ornament, decoration"
अल्प,"little, small"
अल्पाहारः,breakfast
अवकरिका,dustbin
अवकाशः,holiday
अवगच्छति (अव + गम्),to understand
अवतरति (अव + तृ),to get down
अवलोकते (अव + लोक्),to behold
अवयवः,part
अवश्यम्,certainly
अवसरः,"opportunity, chance"
अशरीरवाणी,unseen voice
अश्वः,horse
असाध्य,"incurable, difficult to be accomplished"
असुरः,demon
असूया,jealousy
अस्माकम्,ours
अहम्,"I, myself"
अहिः,snake
अहोरात्रः,day and night
अर्ह,able
आकरग्रन्थः,source book
आकर्षति (आ + कृष्),to attract
आकर्षिका,"charming, attractive"
आकाशः / आकाशम्,sky
आकुल,"perturbed, agitated"
आगच्छति,to come
आगमनम्,coming
आगन्तुक,"new comer, guest"
आग्रहः,"persistence, request"
आचरणम्,"performance, action, conduct"
आचार्यः,"teacher, professor"
आच्छादः,"cloth, covering cloth"
आच्छादयति (आ + छद्),to cover
आज्ञा,"order, command"
आञ्जनेयः,Hanuman
आढ्य,"rich, wealthy"
आतपः,sunlight
आतिथ्यम्,hospitality
आत्मकथा,autobiography
आत्मसमर्पणम्,surrendering
आदरः,respect
आदरणीय,respectable
आदानम्,"accepting, receiving"
आदि,"first, beginning with"
आदिनम्,the whole day
आदिशति (आ + दिश्),to order
आदेशः,order
आधानम्,"placing, putting upon"
आधानिका,flowerpot
आधारः,"location, base"
आननम्,face
आनन्दः,"happiness, pleasure, joy"
आनयति (आ + नी),to bring
आन्दोलनम्,movement
आप्नोति (आप्),"to obtain, to pervade"
आपणः,shop
आपणिकः,shopkeeper
आभरणम्,ornament
आभाणकः,a proverb
आम्,yes
आमन्त्रणम्,invitation
आमलकम्,the fruit of emblic myrobalan
आम्रः,the mango tree
आम्रम्,the mango fruit
आयः,income
आयुः,age
आयुधम्,weapon
आयोजनम्,arrangement
आरक्षकालयः,police station
आरम्भः,beginning
आराधना,worship
आरोग्यम्,good health
आरोहति (आ + रुह्),to climb
आर्थिक,financial
आर्द्र,wet
आर्द्रकम्,ginger
आर्य,"respectable, sir"
आलयः,"house, place"
आलस्यम्,laziness
आलापः,conversation
आलिङ्गनम्,embracing
आलुकम्,potato
आलोकः,light
आलोडयति (आ + लुड्),"to churn, to stir"
आवश्यक,necessary
आवासः,"house, residence"
आविष्कारः,invention
आवुत्तः,sister's husband
आवेगः,"passion, impulse"
आवेदनम्,an application
आशयः,"intention, meaning"
आशा,"hope, direction"
आशीर्वाद,blessings
आश्चर्य,"wonderful, marvellous"
आश्चर्यम्,wonder
आश्रमः,hermitage
आश्रयः,"refuge, support"
आश्रयति (आ + श्रि),to take resort
आश्रित,dependent
आसक्त,attached (loving devotedly)
आसक्तिः,attachment
आसनम्,"a seat, posture of sitting"
आसन्दः,chair
आस्तिक,having faith in Vedas and God
आस्वादः,relish (eating with)
आहत्य,"grand total, totalling"
आहारः,food
आहरणम्,collection
आहरति,to bring
आह्वयति,to call
आह्वानम्,"calling, invitation"
इक्षुः,sugarcane
अधीते (इङ्),to study
इच्छति,to wish
इच्छा,"desire, wish"
इतः,from here
इतर,other
इतस्ततः,here and there
इति,in this way
इतिहासः,history
इत्थम्,in this way
इदानीम्,now
इन्धनम्,fuel
इव,"as if, like"
इष्यति,to go
इच्छति,to wish
इष्टिका,brick
ईर्ष्यति,"to envy, to feel jealous"
ईक्षते,to see
ईर्ष्या,jealousy
ईश्वरः,"God, ruler"
ईहामृगः,a wolf
उग्र,"violent, radical"
उचित,proper
उच्चारणम्,pronunciation
उच्चैः,"loudly, high"
उडुपः,boat
उड्डयनम्,flying
उत्कण्ठा,eagerness
उत्कीर्ण,"scattered, exgraved"
उत्कोचः,bribe
उत्खननम्,digging
उत्तिष्ठति,to rise
उत्थापयति,to lift
उत्पलम्,lily
उत्पीठिका,table
उत्सवः,festival
उत्साहः,encouragement
उदकम्,water
उदरम्,belley
उदार,generous
उदाहरणम्,"example, illustration"
उद्घाटनम्,opening
उद्घाटयति,"to open, to inaugurate"
